Keyword,Intent Cluster,Monthly Volume,KD,Primary SERP Features,Target URL,Page Type,Priority,Schema,Internal Link Source Pages,Notes
chevy emblem,Commercial + Informational,3600,27,"Sitelinks; Image pack; Video; PAA; Related searches",/articles/chevy-emblem-buying-guide,Pillar Guide,Critical,"BlogPosting; FAQPage; ItemList","/products?make=Chevrolet; /articles; /fitment","Primary head term with highest commercial relevance."
chevy bowtie,Informational,3600,20,"AI Overview; Image; Video; PAA; Things to Know",/articles/chevy-bowtie-fitment-size-guide,Technical Guide,Critical,"BlogPosting; FAQPage; HowTo","/fitment; /articles/how-to-measure-truck-emblem-size-fitment-guide","Consolidate duplicate variants into one authoritative page."
chevrolet emblem,Informational,1900,21,"Image pack; Sitelinks; Video; PAA",/articles/chevrolet-emblem-style-fitment-guide,Guide,High,"BlogPosting; FAQPage","/products?make=Chevrolet; /glossary","Semantic variant of core term; strong image intent."
corvette emblem,Commercial,2400,11,"Image pack; Video; PAA",/articles/corvette-emblem-fitment-upgrade-guide,Category Guide,High,"BlogPosting; FAQPage","/articles; /products","Fast-win term (lower KD) if product relevance is covered."
chevy emblem bowtie,Commercial,1000,24,"AI Overview; Image; Video carousel",/articles/chevy-bowtie-fitment-size-guide,Section Target,High,"FAQPage","/articles/chevy-emblem-buying-guide","Map to same canonical bowtie guide to avoid cannibalization."
chevrolet bowtie emblem,Informational,1300,26,"AI Overview; Image pack; PAA",/articles/chevy-bowtie-fitment-size-guide,Section Target,High,"FAQPage","/articles/chevrolet-emblem-style-fitment-guide","Use dedicated H2 + FAQ block inside bowtie page."
chevrolet grill emblem,Informational + Transactional,480,22,"Image pack; Video; Popular products",/articles/chevrolet-grille-emblem-size-install-guide,Guide,High,"BlogPosting; HowTo","/articles/how-to-install-engraved-chevy-emblem-step-by-step","High intent for install + purchase crossover."
chevy emblem for grille,Commercial,480,19,"Image; Video; Popular products",/articles/chevrolet-grille-emblem-size-install-guide,Section Target,Medium,"FAQPage","/products?make=Chevrolet; /fitment","Merge with grille emblem page as keyword variant."
black chevy logo,Commercial + Informational,1000,23,"Image pack; Sitelinks; Popular products",/articles/black-chevy-emblem-finish-guide,Style Guide,High,"BlogPosting; FAQPage","/gallery; /products?make=Chevrolet","Color/style-focused conversion keyword."
chevy emblem black,Commercial + Informational,480,22,"Image pack; Related searches; Popular products",/articles/black-chevy-emblem-finish-guide,Section Target,Medium,"FAQPage","/articles/chevy-emblem-buying-guide","Variant of black logo term; avoid separate page."
black chevy grille emblem,Commercial,140,14,"Image pack; Popular products",/articles/black-chevy-emblem-finish-guide,Section Target,Medium,"FAQPage","/articles/chevrolet-grille-emblem-size-install-guide","Low volume but high purchase intent."
black silverado emblems,Commercial,260,15,"Image; PAA; Related searches",/articles/black-silverado-emblem-upgrade-guide,Buyer Guide,Medium,"BlogPosting; FAQPage","/products?make=Chevrolet; /gallery","Silverado-specific style cluster."
emblems chevy,Commercial + Informational,320,19,"Image pack; Popular products",/products?make=Chevrolet,Collection Page,Medium,"ItemList; Product","/; /articles","Support term to reinforce Chevy collection page."
chevy bow tie,Commercial + Informational,1000,24,"Image pack; Video; Short videos",/articles/chevy-bowtie-fitment-size-guide,Section Target,Medium,"FAQPage","/articles/chevy-emblem-buying-guide","Close duplicate of chevy bowtie; consolidate."
chevy logo bowtie,Commercial + Informational,170,14,"AI Overview; Image; Video",/articles/chevy-bowtie-fitment-size-guide,Section Target,Medium,"FAQPage","/articles/black-chevy-emblem-finish-guide","Variant query; include in FAQ and glossary terms."
chevy emblems that light up,Commercial,880,19,"Image; Video; Related searches",/articles/illuminated-chevy-emblem-install-guide,How-To + Product,High,"BlogPosting; HowTo; FAQPage","/articles/illuminated-chevy-emblem-kits-2016-2018-silverado","Strong niche intent; leverage existing illuminated content."
